URL,Name,Price,Rating,Reviews,Acin,Description
https://www.amazon.in/American-Tourister-BACKPACK-COMPARTMENT-ORGANIZER/dp/B0BTD4S4XF,"American Tourister VALEX BLACK LAPTOP BACKPACK 28 Ltrs,Volume, LAPTOP COMPARTMENT, BOTTLE POCKET, FRONT ORGANIZER","1,399",4.3,859.0,B0BTD4S4XF,"['Care Instructions: Hand Wash Only', 'Well Organized compartment ,Security Back Pocket']"
https://www.amazon.in/Safari-Laptop-Backpack-Resistant-Fabric/dp/B09B28TKLG,Safari Quill Large Laptop Backpack 26 Ltrs Water Resistant Fabric - Blue,859,4.0,777.0,B09B28TKLG,"['Care Instructions: Hand Wash Only', '100% Polyester, High Quality, Durable and Water Resistant Fabric', '2 compartment backpack with a padded sleeve for laptops, can hold upto 17 inch laptop/notebook', 'Front storage pocket keeps smaller items neatly organized and easy to access', 'Mesh Padding on back & shoulder strap to provide comfort & better back support; 1-year International Warranty against manufacturing defects', 'Special Features: Lightweight; Closure Type: Zipper; Age Range Description: Adult']"
https://www.amazon.in/ADISA-Casual-Backpack-College-BP046-NAV_Navy/dp/B0BX3QFVSM,ADISA 31 Ltrs Casual Backpack School College Bag Pack,399,3.9,208.0,B0BX3QFVSM,Not responding
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL66G55,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",599,4.1,1614.0,B09QL66G55,Not responding
https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ,ADISA Light Weight Laptop Backpack 32 Ltrs,499,4.0,6090.0,B07F3X45WZ,"['Care Instructions: Hand Wash Only', 'Adjustable Shoulder Handles / Two Bottle holders / Padded Handle / Reflector Logo', 'Dimensions : LxWxH- 31 x 18 x 47 cms', 'Laptop : 15.6 inches and below (Bigger than 15.6 not recommended)', 'No. of Compartments : 3 with full padding', 'NOT INCLUDED : NO RAIN COVER, Laptop, Headphones & Cable (Images only for display)']"
https://www.amazon.in/FATMUG-Laptop-Bag-Men-Convertible/dp/B084LF4RT5,"FATMUG Laptop Bag For Men - Convertible Backpack For Office And Travel (Dark Grey,Oxford Fabric)","1,699",4.4,2318.0,B084LF4RT5,Not responding
https://www.amazon.in/FUR-JADEN-Backpack-Accessories-Organiser/dp/B0BSHBH9K2,"FUR JADEN 15.6 Inch Smart Laptop Backpack Bag With USB Charging Port, Anti Theft Pocket and Accessories Organiser for Men Women Boys Girls","1,329",4.1,697.0,B0BSHBH9K2,Not responding
https://www.amazon.in/WILDHORN-Backpack-Compartment-Business-Stitching/dp/B09QL81ZHB,"WILDHORN 31L Laptop Backpack for Men/Women I Fits upto 15.6"" Laptop I Waterproof I Travel/Business/College Bookbags",599,4.1,1614.0,B09QL81ZHB,Not responding
https://www.amazon.in/Arctic-Fox-Liters-String-Backpack/dp/B08L6Q9V1H,Arctic Fox 15 Liters Draw String Bag Lavender Backpack,209,4.2,3525.0,B08L6Q9V1H,"['Care Instructions: Machine Wash', 'Compartments : 1 Compartment and 1 front pocket :: Zipper : #5 SBS Nylon Zipper and Runner Puller', 'Included Items :: Drawstring Backpack']"
https://www.amazon.in/Gear-Black-Laptop-Backpack-LBPASPIRE0104/dp/B075MK4TXP,Gear Aspire 30L Water Restant Office Laptop Bag/Backpack for Men/Women/(Black),"1,115",4.3,6112.0,B075MK4TXP,"['Care Instructions: Hand Wash Only', 'Outer Material: Polyester, Color: Black', 'Water Resistance: Water resistant', 'Capacity: 30 liters; Dimensions: 50 cms x 34 cms x 18 cms (LxWxH); Number of compartments: 2', 'Laptop Compatibility: Yes, Laptop Size: 17, Strap Type: Adjustable,', 'Closure Type: Zipper; Pocket Description: Utility Pocket; Special Features: Laptop Compartment; Age Range Description: Adult; Style Name: Traditional Backpacks']"
https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QL8633G,"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",929,3.9,1095.0,B07QL8633G,"['Innovative Design: AirCase Laptop Backpack is made of Premium Vegan Leather for your 15.6 Inch Laptop. This Laptop Backpack has 2 Front Pocket and 2 Main Compartment for Laptop, Tablet and other Main compartment for wallets dairy, clothes, etc. There is two way Cortical Tail Zipper with leather pull tail, Fashionable and Novel, keeping up with the current trend.', 'Large Storage: There is 2 Main Compartment One for 15.6 inch Laptop, Tablet with a secure Velcro closure and other for main compartment for your other belonging like Cloth, Wallet, Book, Diary, etc. There is also 2 front zipper pocket for Mobile, Charger, Power Adapter, Cable, Power Bank, Keys etc.convenient to carry at school college office travelling for students boys girls', 'Light weight & Durable: It is made of Premium Vegan Leather for 15.6 inch laptop. Ruggedized water-resistant base helps to protect from the elements. Water Resistant Base which protect your belonging from getting wet. waterproof latest smart stylish spacious rucksack luggage tourist travel bagpack.', 'Shoulder Straps: Breathable Mesh Padding at back which is design for back relief and shoulder straps for extra comfort with adjustable side straps for a better fit.', 'Specifications:- Work with -15.6"" Laptops and Under, CAPACITY- 22L, DIMENSIONS – 46-cm X 29-cm X 19-cm, WEIGHT - 0.58 kg, WARRANTY – 1 Year under Manufacturing Defect Only.']"
https://www.amazon.in/SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV,Safari Compact Size 15 Ltrs Casual Backpack For Unisex Adult - Sea Blue,329,4.0,20500.0,B07Q7CNPMV,"['Care Instructions: Hand Wash Only', 'Outer Material: Polyester, Color: Sea Blue', 'Not water resistant. With Rain Cover:No', 'Capacity: 15 liters; Weight: 200 grams; Dimensions: 12 cms x 27 cms x 41 cms (LxWxH)', 'Number of compartments: 2; Laptop Compatibility: No', 'Age Range Description: Kid; Closure Type: Drawstring; Pocket Description: Utility Pocket', 'Drawstring, 2 Compartments, Compact Size']"
https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B0BPTV3795,ADISA 32L large laptop backpack office bag college travel back pack with rain cover,599,3.9,322.0,B0BPTV3795,"['Material: Water Resistant Strong Polyester', 'Compartments: 2 with padding', 'Laptop Size: 15.6 inch and below', 'Dimensions: LxWxH - 11 x 6 x 18 inches', 'Reflector Logo / Adjustable Padded Shoulder Straps / 2 Bottle holders / Padded Top Handle / Rain Cover']"
https://www.amazon.in/Zebronics-TechshieldA1-Compartment-15-6-inch-Polyester/dp/B0C6QV9GCY,"Zebronics TechshieldA1, 18 Liters, 1 Compartment Laptop Backpack and Front Pocket, fit Up to 15.6-inch Laptop, Polyester Fabric, Office Use and Mini Business Travel Bags (Light Grey)",599,5.0,4.0,B0C6QV9GCY,"['The Zebronics Techsheild A1 backpack comes with 2 compartments,adjustable shoulder straps,side mesh for keeping bottle.', 'The backpack contains a unique secret pocket on the backside of the backpack.', 'It contains spacious front pocket that can accommodate your belonging efficiently.', 'You can keep assets you need for immediate access.Also it contains a safe laptop compartment when you can keep a 15.6inch laptop or smaller ones easily.', ""It's water-resistant, good quality zipper, light weight."", 'It has a Padded Adjustable Shoulder Straps and a trolley support strap for maximum comfort and to make your travel journey']"
https://www.amazon.in/Gear-Training-Travel-Duffel-DUFCRSTNG4314/dp/B098FG3GVX,Gear Polyester 23 Cms Travel Bag(DUFCRSTNG4314_Khaki),478,4.1,562.0,B098FG3GVX,"['Ergonomically Designed : Spacious with Multiple Pockets : Intuitive Access : Lightweight : Easily Adjustable Shoulder Strap : Cushioned Grab Handle : Padded Base', '3 External Zippered Pockets : 1 Mesh Stash Pocket', 'Outer material type: Polyester', 'item weight: 340.0 grams']"
https://www.amazon.in/Safari-Laptop-Backpack-Compartments-Resistant/dp/B09B27S9SG,"Safari Tribe 35 Ltrs Large Laptop Backpack with 3 Compartments, Water Resistant Fabric - Black (TRIBE19CBBLK)","1,109",3.8,1714.0,B09B27S9SG,Not responding
https://www.amazon.in/Number-Backpack-Compartment-Charging-Organizer/dp/B09VTC876Z,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls",670,4.0,5627.0,B09VTC876Z,Not responding
https://www.amazon.in/LOOKMUSTER-Waterproof-Backpack-College-Business/dp/B0BS6YGKMC,LOOKMUSTER Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Travel Backpack…,613,3.9,45.0,B0BS6YGKMC,Not responding
https://www.amazon.in/Motherly-Stylish-Babies-Diaper-Mothers/dp/B07DMKJJB4,motherly Stylish Babies Diaper Bags for Mothers - Economical Version (Grey and Pink),"1,799",4.6,5923.0,B07DMKJJB4,"['The bag dimensions are: 39.5 cm x 26 cm x 20 cm, Weight: 750 gm.', 'Exteriors & Interiors: 3 LAYERED PROTECTION. Waterproof Oxford Fabric (BPA-free), Innermost PU layer (for strength & stability), Sandwiched nylon fibers.', 'Highlights: 13 well-sized pockets for storage and organization, roomy main section, three 14 cm x 8.15 cm insulated milk bottle pockets, separate dry and wet sections, anti-theft back pocket, front and back openings for easy accessibility, key chain clip, D-rings for hands-free usability, adjustable 5-cm wide cushioned back straps.', ""What's new: Carefully selected fabric and high-quality hardware (zippers, rivets, gauge buttons) after extensive research. Lightweight design that doesn't compromise durability, ensuring it can sustain heavy weight without adding bulk."", 'Care instructions: Hand wipe with a damp cloth using a mild cleanser, avoid bleach, and do not iron.']"
https://www.amazon.in/AUXTER-BLACKY-Duffel-Emboss-Black/dp/B07F2H25NP,AUXTER Faux Leather 23 Cms Duffle Bag(AUX_GB_LE_Black -SE__0521_Black),429,4.3,9298.0,B07F2H25NP,"['Material / Dimension : Outer Material - Premium leatherette Fabric, Inner Material – Soft Polyester, Size: 43 cm x 23 cm x 23 cm. (L x B x H), Color : Black', 'Capacity: 23 Liters, 1 Large Double Zip Closure Compartment, 1 external Mesh Organizer Pocket for the earphones, ID card, Sanitizer, House keys, Fitness Band. 1 Main Compartment for all your Gym Clothes, Gym belt, towel, Gym gloves, shaker, shoe Pair etc.', 'Design: Design with Self Embossed logo On the Premium Leatherette Heavy Quality Material. 3.8 Cm Wide and 125 cm Long Adjustable Handle and Double side easy carry handle.', 'Manufacturing & Warranty: This Product is made in INDIA By “The INDIAN KARIGAR “ and pass though the many quality checks and tests This Product is come With 1 year of Warranty.', 'Suitable: Auxter Black Gym Bag/ Duffel bag is suitable for gym, Day trip bag, casual round bag, travel bag is suitable for men women boys and Girls. This Bag is trending For Gift Purpose']"
https://www.amazon.in/AmazonBasics-Mini-Backpack-Outdoor-Black/dp/B0BRKFXT9Z,AmazonBasics - Mini Backpack for Outdoor Use (12 l) (Black),279,3.7,616.0,B0BRKFXT9Z,"['Small, trendy, multipurpose backpack to use for short hikes, trips or daily use', 'Made from denier polyester, which is highly durable and long-lasting', 'Contains 1 front and 1 main compartment to store notebooks, tablets and other essentials', 'Comes with adjustable open angles, advanced storage design and a quick-access front pocket to carry small items', 'Suitable for both men and women', 'Capacity: 12 l', 'Colour: Black']"
https://www.amazon.in/Lunars-V-Line-Resistant-Bagpack-College/dp/B08BP5CYDV,"Lunar's V-Line Backpack for Men, Blue | 35L Water Resistant School Bags for Boys | Stylish, & Durable | College Bags for Men/College Bag for Girls | 1 Yr Warranty",735,4.1,2687.0,B08BP5CYDV,Not responding
https://www.amazon.in/Zipline-Nexa-Resistant-Bagpack-Backpack/dp/B08WQ668WJ,Zipline Unisex Casual Polyester 36 L Backpack School Bag Women Men Boys Girls Children Daypack College Bag Book School Sports Bag,843,3.6,913.0,B08WQ668WJ,Not responding
https://www.amazon.in/TRUE-Emperor-Anti-Theft-backpack-charging/dp/B0BYB631NR,"TRUE HUMAN® Emperor Anti-Theft Pocket backpack With USB charging Port Laptop,office,college,travel bag for men and women(Epower)",599,3.6,264.0,B0BYB631NR,Not responding
https://www.amazon.in/Lavie-Sport-Duffle-Luggage-Trolley/dp/B097RJ22Q3,Lavie Sport Lino Large Size 63 cms Wheel Duffle Bag for Travel | Travel Bag with Trolley,"1,049",4.0,8327.0,B097RJ22Q3,Not responding
https://www.amazon.in/Wildcraft-Wolf_Blk-Casual-Backpack-11629-Wolf_Blk/dp/B079DDT65R,Wildcraft Nylon 44 Ltrs Casual Backpack (11629-Wolf_Black),"1,769",4.3,5876.0,B079DDT65R,"['Care Instructions: Hand Wash Only', 'Number of compartments: 3, Laptop Sleeve: Yes']"
https://www.amazon.in/Nivia-Deflate-5180BK-Polyester-Round/dp/B07222KX3S,NIVIA Deflate Round 01 Polyester Gym Bag/Unisex Gym Bags/Adjustable Shoulder Bag for Men/Duffle Gym Bags for Men/Carry Gym Accessories/Fitness Bag/Sports &Travel Bag/Gym kit Bag (Black),459,4.2,7604.0,B07222KX3S,"['Strong stitching at major stress points provide long-lasting durability against daily activities', 'Main compartment with zip closure', ""Lightweight and fold-able, It's easy to fold up into small compact space."", 'Can be folded and inserted in the inner pocket with double sided runner', 'Optimum quality of accessories and zipper for smoother functioning and high durability', 'Bag Capacity - 19.5 Ltrs']"
https://www.amazon.in/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF9VHTY,Genie Flamenco2 Casual Backpacks for Women,733,4.3,1558.0,B08YF9VHTY,"['Made with High Quality fabric. Outer material: Nylon Twill - Soft, Durable and Water Resistant! Capacity: 13 liters, Weight: 355 g, Dimensions: 29 x 35.5 x 13 cm Warranty: 12 months', 'Spacious compartment with Tablet sleeves: To have entertainment & work, on the Go! One side pocket: For holding water bottle, clipping pens or pencil or storing other items. Easily accessible front pocket: To keep all your essentials such as wallet, ticket, cosmetics.', ""Padded and Ergonomic Shoulder Straps: There is padded back mesh and ergonomic straps that gives extra spine and shoulder support and helps in minimizing the load after carrying the bag through a busy day at campus.This women's backpack can be carried to work, college, school, for a day out or even while you are travelling!"", 'Light Weight yet Durable to resist the weight of textbooks, stationary, lunch boxes. Can store all your college or office stationary, without any hassle.', ""Stylish & Cute: This bag is designed for those Millennials and GenZ, who aren't afraid to compromise on Utility or Fashion! It is a perfect, small bag to carry all the daily essentials while using it as a trendy accessory, or a travel bag or as a college backpack.""]"
https://www.amazon.in/Nelle-Harper-Womens-Sling-Green/dp/B07JGQM7DC,Nelle Harper Women's Handbag,959,3.7,1924.0,B07JGQM7DC,Not responding
